Target_Boundary,True_Gamma_eV_A2
CoGe_111_GBs/sym00238/9x,
CoGe_110_GBs/sym00476/9x,
CoGe_110_GBs/sym00214/7x,
CoGe_110_GBs/sym00374/11x,
CoGe_110_GBs/sym00540/8x,
CoGe_111_GBs/sym00075/9x,
CoGe_111_GBs/sym00235/4x,
CoGe_110_GBs/sym00470/10x,
CoGe_111_GBs/sym00078/12x,
CoGe_100_GBs/sym00432/12x,
CoGe_111_GBs/sym00339/9x,
CoGe_110_GBs/sym00379/11x,
CoGe_110_GBs/sym00455/11x,
CoGe_100_GBs/sym00431/12x,
CoGe_110_GBs/sym00219/12x,
CoGe_111_GBs/sym00201/9x,
CoGe_110_GBs/sym00538/10x,
CoGe_110_GBs/sym00386/8x,
CoGe_111_GBs/sym00006/9x,
CoGe_111_GBs/sym00225/9x,
CoGe_100_GBs/sym00496/12x,
CoGe_111_GBs/sym00003/9x,
CoGe_110_GBs/sym00378/12x,
CoGe_110_GBs/sym00475/11x,
CoGe_111_GBs/sym00212/9x,
